# of SRs,Community Board
13,03 STATEN ISLAND
20,11 QUEENS
22,01 MANHATTAN
25,11 QUEENS
27,11 QUEENS
30,03 STATEN ISLAND
33,03 STATEN ISLAND
33,11 QUEENS
34,01 MANHATTAN
34,01 MANHATTAN
34,05 MANHATTAN
34,05 MANHATTAN
36,05 MANHATTAN
37,13 QUEENS
38,01 MANHATTAN
40,01 MANHATTAN
40,01 MANHATTAN
41,05 MANHATTAN
42,03 STATEN ISLAND
45,01 MANHATTAN
45,11 QUEENS
47,01 MANHATTAN
47,01 MANHATTAN
47,01 MANHATTAN
52,05 MANHATTAN
52,05 MANHATTAN
54,03 STATEN ISLAND
57,03 STATEN ISLAND
58,11 QUEENS
60,11 QUEENS
60,11 QUEENS
61,02 STATEN ISLAND
61,13 QUEENS
62,03 STATEN ISLAND
62,11 QUEENS
63,02 MANHATTAN
63,05 MANHATTAN
64,10 QUEENS
67,01 MANHATTAN
67,05 MANHATTAN
68,05 MANHATTAN
68,05 MANHATTAN
68,11 QUEENS
69,02 STATEN ISLAND
69,05 MANHATTAN
70,01 MANHATTAN
74,13 QUEENS
76,05 MANHATTAN
76,06 QUEENS
77,02 STATEN ISLAND
78,02 STATEN ISLAND
78,11 QUEENS
78,11 QUEENS
81,10 QUEENS
84,13 QUEENS
86,02 STATEN ISLAND
88,02 MANHATTAN
89,06 QUEENS
89,13 QUEENS
90,03 STATEN ISLAND
93,06 BROOKLYN
95,06 BROOKLYN
95,07 BROOKLYN
95,10 QUEENS
96,14 QUEENS
98,02 STATEN ISLAND
98,02 STATEN ISLAND
100,06 QUEENS
102,06 MANHATTAN
104,06 BROOKLYN
104,07 BROOKLYN
106,06 MANHATTAN
111,12 BROOKLYN
112,06 QUEENS
112,13 QUEENS
115,10 BROOKLYN
116,02 BRONX
117,12 BROOKLYN
118,06 QUEENS
119,04 MANHATTAN
121,13 QUEENS
122,10 BRONX
122,14 QUEENS
122,15 BROOKLYN
123,03 STATEN ISLAND
123,07 QUEENS
125,02 BROOKLYN
125,06 BROOKLYN
125,07 BROOKLYN
125,15 BROOKLYN
127,10 BROOKLYN
127,15 BROOKLYN
128,02 MANHATTAN
128,10 BRONX
128,13 BROOKLYN
129,16 BROOKLYN
130,02 QUEENS
130,06 QUEENS
130,14 QUEENS
131,10 BRONX
131,12 BROOKLYN
132,06 BROOKLYN
132,10 BROOKLYN
133,02 MANHATTAN
133,06 MANHATTAN
134,03 STATEN ISLAND
134,06 QUEENS
134,11 BROOKLYN
135,06 BROOKLYN
136,04 MANHATTAN
136,06 MANHATTAN
136,07 BROOKLYN
138,02 STATEN ISLAND
139,06 BROOKLYN
139,11 BROOKLYN
140,02 BRONX
140,04 MANHATTAN
140,16 BROOKLYN
141,06 BROOKLYN
141,06 MANHATTAN
142,02 MANHATTAN
142,02 STATEN ISLAND
142,11 BROOKLYN
143,02 BRONX
143,06 BROOKLYN
143,11 BROOKLYN
144,12 BROOKLYN
144,16 BROOKLYN
144,18 BROOKLYN
145,02 MANHATTAN
145,02 STATEN ISLAND
145,03 STATEN ISLAND
145,05 QUEENS
145,18 BROOKLYN
146,06 MANHATTAN
146,16 BROOKLYN
147,04 MANHATTAN
147,06 BROOKLYN
147,12 BROOKLYN
148,02 BRONX
148,04 QUEENS
148,10 BROOKLYN
148,11 BROOKLYN
148,13 BROOKLYN
149,07 QUEENS
149,10 BRONX
150,02 STATEN ISLAND
150,07 BROOKLYN
150,16 BROOKLYN
151,02 QUEENS
151,06 QUEENS
151,08 MANHATTAN
151,10 BROOKLYN
151,11 BROOKLYN
151,12 BROOKLYN
152,07 QUEENS
152,13 BROOKLYN
153,06 QUEENS
153,10 BRONX
154,06 MANHATTAN
154,06 QUEENS
154,07 BROOKLYN
154,08 QUEENS
154,11 BROOKLYN
154,11 BROOKLYN
155,04 MANHATTAN
155,10 BROOKLYN
157,11 BROOKLYN
157,12 QUEENS
158,02 BRONX
158,08 QUEENS
158,09 QUEENS
158,10 BRONX
158,14 QUEENS
158,16 BROOKLYN
159,10 BRONX
159,10 BROOKLYN
159,13 BROOKLYN
159,16 BROOKLYN
160,02 MANHATTAN
161,03 QUEENS
161,08 MANHATTAN
161,16 BROOKLYN
162,02 BRONX
162,02 BRONX
162,02 BRONX
162,11 BROOKLYN
164,02 STATEN ISLAND
164,12 BROOKLYN
165,02 QUEENS
165,05 QUEENS
167,08 BRONX
167,10 BROOKLYN
167,13 BROOKLYN
167,16 BROOKLYN
169,12 QUEENS
170,14 QUEENS
171,15 BROOKLYN
172,02 QUEENS
172,05 QUEENS
172,08 QUEENS
172,10 BRONX
173,13 BROOKLYN
173,15 BROOKLYN
173,15 BROOKLYN
174,10 BRONX
174,15 BROOKLYN
175,14 QUEENS
175,18 BROOKLYN
176,02 MANHATTAN
177,02 BROOKLYN
177,03 BRONX
177,06 MANHATTAN
179,02 QUEENS
179,06 MANHATTAN
179,08 BRONX
179,08 QUEENS
179,10 BRONX
181,02 BRONX
181,04 MANHATTAN
